NAICS6d,NAICS_TITLE_6d,variable
221117,Biomass Electric Power Generation,Electricity|Biomass|w/o CCS
221112,Fossil Fuel Electric Power Generation,Electricity|Coal|w/ CCS
221112,Fossil Fuel Electric Power Generation,Electricity|Coal|w/o CCS
221113,Fossil Fuel Electric Power Generation,Electricity|Gas|CC|w/ CCS
221114,Fossil Fuel Electric Power Generation,Electricity|Gas|CC|w/o CCS
221115,Fossil Fuel Electric Power Generation,Electricity|Gas|CG|w/o CCS
221116,Fossil Fuel Electric Power Generation,Electricity|Gas|SC|w/o CCS
221111,Hydroelectric Power Generation,Electricity|Hydro|Daily
221111,Hydroelectric Power Generation,Electricity|Hydro|Monthly
221111,Hydroelectric Power Generation,Electricity|Hydro|Run
221113,Nuclear Electric Power Generation,Electricity|Nuclear
221112,Fossil Fuel Electric Power Generation,Electricity|Oil|w/o CCS
221114,Solar Electric Power Generation,Electricity|Solar|PV|Open Land
221115,Wind Electric Power Generation,Electricity|Wind|Offshore
221123,Wind Electric Power Generation,Electricity|Wind|Onshore
221112,Fossil Fuel Electric Power Generation,gasSC_ccs_pre2025
221112,Fossil Fuel Electric Power Generation,gasSC_ccs_pre2025
221111,Hydroelectric Power Generation,hydro_daily_renewal
221111,Hydroelectric Power Generation,hydro_monthly_renewal
221111,Hydroelectric Power Generation,ror_hydro_renewal
237130,Power and Communication Line and Related Structures Construction,Transmission
